,sunlight,temperature,precipitation,weather
2024/08/07 14:00,0,24.7,0,10
2024/08/07 15:00,0,24.7,0.5,10
2024/08/07 16:00,0,24,0.5,10
2024/08/07 17:00,0.1,24.6,0,10
2024/08/07 18:00,0.5,24.2,0,2
2024/08/08 7:00,0,23.5,0,4
2024/08/08 8:00,0,23.8,0,4
2024/08/08 9:00,0.3,25.5,0,4
2024/08/08 10:00,0.3,27.1,0,4
2024/08/08 11:00,0.3,27.4,0,4
2024/08/08 12:00,0.4,30,0,4
2024/08/08 13:00,0.2,29.7,0,4
2024/08/08 14:00,0.5,31,0,2
2024/08/08 15:00,1,31.4,0,2
2024/08/08 16:00,0.9,31,0,2
2024/08/08 17:00,0.9,30.8,0,2
2024/08/08 18:00,0.9,30.1,0,2
2024/08/09 7:00,0,24,0,4
2024/08/09 8:00,0.5,25.6,0,2
2024/08/09 9:00,1,27.6,0,2
2024/08/09 10:00,0.6,28.2,0,2
2024/08/09 11:00,0.1,29.9,0,4
2024/08/09 12:00,0.7,31.9,0,2
2024/08/09 13:00,1,32.4,0,2
2024/08/09 14:00,0.9,32.5,0,2
2024/08/09 15:00,1,33.1,0,2
2024/08/09 16:00,1,32.5,0,2
2024/08/09 17:00,0.4,30.6,0,4
2024/08/09 18:00,0.7,30.3,0,4
2024/08/10 7:00,0.1,24.5,0,4
2024/08/10 8:00,0,25.2,0,4
2024/08/10 9:00,0.3,26.2,0,4
2024/08/10 10:00,0.3,27.7,0,4
2024/08/10 11:00,0.7,30,0,2
2024/08/10 12:00,0.4,29.8,0,4
2024/08/10 13:00,0.5,32.4,0,2
2024/08/10 14:00,1,33.1,0,2
2024/08/10 15:00,0.7,30.7,0,4
2024/08/10 16:00,0.2,29.6,0,4
2024/08/10 17:00,0.1,29.7,0,4
2024/08/10 18:00,0.6,28.8,0,4
2024/08/11 7:00,0,24.6,0,4
2024/08/11 8:00,0.7,26.9,0,2
2024/08/11 9:00,0.3,28.9,0,4
2024/08/11 10:00,0.2,29.6,0,4
2024/08/11 11:00,0,30.1,0,4
2024/08/11 12:00,0,29.4,0,4
2024/08/11 13:00,0,29.6,0,4
2024/08/11 14:00,0,29.9,0,4
2024/08/11 15:00,0.2,30.1,0,4
2024/08/11 16:00,0.1,29.6,0,4
2024/08/11 17:00,0,28.9,0,4
2024/08/11 18:00,0.3,29,0,4
2024/08/12 7:00,0,24.6,0,4
2024/08/12 8:00,0,25.4,0,4
2024/08/12 9:00,0,26.6,0,4
2024/08/12 10:00,0,27.7,0,4
2024/08/12 11:00,0.5,29.2,0,4
2024/08/12 12:00,0,29.5,0,4
2024/08/12 13:00,0.1,29.4,0,4
2024/08/12 14:00,0.1,29.9,0,4
2024/08/12 15:00,0,29.5,0,4
2024/08/12 16:00,0.1,29.9,0,4
2024/08/12 17:00,0.6,29.6,0,2
2024/08/12 18:00,0.6,28.4,0,2
2024/08/13 7:00,0,25.5,0,10
2024/08/13 8:00,0.1,26.9,0,4
2024/08/13 9:00,1,29.6,0,2
2024/08/13 10:00,0.2,30.3,0,4
2024/08/13 11:00,0.7,31.9,0,4
2024/08/13 12:00,0.1,31,0,4
2024/08/13 13:00,0.4,32.3,0,2
2024/08/13 14:00,0.7,34.1,0,2
2024/08/13 15:00,1,33.2,0,2
2024/08/13 16:00,0.7,33.7,0,2
2024/08/13 17:00,0.9,32.8,0,2
2024/08/13 18:00,0.9,30.8,0,2
2024/08/14 7:00,0,26.3,0,4
2024/08/14 8:00,0.4,28.1,0,2
2024/08/14 9:00,0.8,29,0,2
2024/08/14 10:00,0.8,31.4,0,4
2024/08/14 11:00,0.5,31.7,0,4
2024/08/14 12:00,0.5,32.5,0,4
2024/08/14 13:00,0.6,33.1,0,4
2024/08/14 14:00,0.8,33.3,0,4
2024/08/14 15:00,1,33,0,2
2024/08/14 16:00,0.9,32.1,0,2
2024/08/14 17:00,0.4,31.6,0,4
2024/08/14 18:00,0,30.6,0,4
2024/08/15 7:00,0,26.5,0,4
2024/08/15 8:00,0,27,0,4
2024/08/15 9:00,0,27.7,0,4
2024/08/15 10:00,0.1,29.3,0,4
2024/08/15 11:00,0.7,31.4,0,4
2024/08/15 12:00,0.4,32,0,4
2024/08/15 13:00,1,33.8,0,2
2024/08/15 14:00,1,34.2,0,2
2024/08/15 15:00,1,34.7,0,2
2024/08/15 16:00,0.4,31.7,0,4
2024/08/15 17:00,0,30.4,0,4
2024/08/15 18:00,0.2,29.5,0,4
2024/08/16 7:00,0,25.2,0,4
2024/08/16 8:00,0,26.7,0,4
2024/08/16 9:00,0.1,28,0,4
2024/08/16 10:00,0.1,29.2,0,4
2024/08/16 11:00,0.2,30.4,0,4
2024/08/16 12:00,0.1,31.6,0,4
2024/08/16 13:00,0.3,32.3,0,4
2024/08/16 14:00,0.5,32.1,0,4
2024/08/16 15:00,0.1,30.1,0,4
2024/08/16 16:00,0.1,29.6,0,4
2024/08/16 17:00,0.3,29.7,0,4
2024/08/16 18:00,0,28.6,0,4
2024/08/17 7:00,0,27,0,4
2024/08/17 8:00,0.7,27.9,0,2
2024/08/17 9:00,0.8,31.2,0,2
2024/08/17 10:00,0.9,32.5,0,2
2024/08/17 11:00,0.5,32.8,0,4
2024/08/17 12:00,0.2,33.1,0,4
2024/08/17 13:00,0.6,33.6,0,2
2024/08/17 14:00,1,34.3,0,2
2024/08/17 15:00,0.6,32.8,0,4
2024/08/17 16:00,0.6,33,0,2
2024/08/17 17:00,1,31.8,0,2
2024/08/17 18:00,0.9,30.3,0,2
2024/08/18 7:00,0,26.3,0,4
2024/08/18 8:00,0,26.2,0,4
2024/08/18 9:00,0.4,28.1,0,4
2024/08/18 10:00,0.6,30.4,0,4
2024/08/18 11:00,0.1,29.7,0,4
2024/08/18 12:00,0.3,31.4,0,4
2024/08/18 13:00,0.6,33.3,0,4
2024/08/18 14:00,1,33.5,0,2
2024/08/18 15:00,1,33.4,0,2
2024/08/18 16:00,1,32.5,0,2
2024/08/18 17:00,1,31.4,0,2
2024/08/18 18:00,0.8,29.7,0,2
2024/08/19 7:00,0.1,25.1,0,4
2024/08/19 8:00,1,27.3,0,2
2024/08/19 9:00,1,28.7,0,2
2024/08/19 10:00,1,30.9,0,2
2024/08/19 11:00,1,32.4,0,2
2024/08/19 12:00,0.9,33.7,0,2
2024/08/19 13:00,0.7,33.3,0,4
2024/08/19 14:00,0.6,34.4,0,4
2024/08/19 15:00,0.9,34.2,0,2
2024/08/19 16:00,1,33.5,0,2
2024/08/19 17:00,0.3,31.9,0,4
2024/08/19 18:00,0,30.1,0,4
2024/08/20 7:00,0.2,26.7,0,4
2024/08/20 8:00,0.1,27.3,0,4
2024/08/20 9:00,0.1,28.9,0,4
2024/08/20 10:00,0.2,31.7,0,4
2024/08/20 11:00,0.6,32,0,2
2024/08/20 12:00,0.9,32.6,0,2
2024/08/20 13:00,0.8,33.8,0,4
2024/08/20 14:00,1,33.6,0,2
2024/08/20 15:00,0.9,33.8,0,2
2024/08/20 16:00,0.5,31.7,0,2
2024/08/20 17:00,0.2,30.1,0,4
2024/08/20 18:00,0.1,29.7,0,4
2024/08/21 7:00,0.2,26.3,0,4
2024/08/21 8:00,0.6,27.9,0,4
2024/08/21 9:00,0.5,28.6,0,4
2024/08/21 10:00,0.8,30.9,0,2
2024/08/21 11:00,1,31.9,0,2
2024/08/21 12:00,1,32.8,0,2
2024/08/21 13:00,1,33.6,0,2
2024/08/21 14:00,1,33.9,0,2
2024/08/21 15:00,1,33.3,0,2
2024/08/21 16:00,1,33.2,0,2
2024/08/21 17:00,1,32,0,2
2024/08/21 18:00,0.4,30.2,0,2
2024/08/22 7:00,0,24.3,0,4
2024/08/22 8:00,0,25.7,0,4
2024/08/22 9:00,0.1,27.1,0,4
2024/08/22 10:00,0.7,29.9,0,4
2024/08/22 11:00,0.7,30.8,0,4
2024/08/22 12:00,0.5,32.3,0,4
2024/08/22 13:00,0.9,34,0,2
2024/08/22 14:00,0.1,33.4,0,4
2024/08/22 15:00,0.2,32.4,0,4
2024/08/22 16:00,0,30.2,0,4
2024/08/22 17:00,0,30,0,4
2024/08/22 18:00,0,29.4,0,4
2024/08/23 7:00,0,26.4,0,4
2024/08/23 8:00,0.1,27.7,0,4
2024/08/23 9:00,0.3,29.7,0,4
2024/08/23 10:00,0,30.9,0,4
2024/08/23 11:00,0.3,32.4,0,4
2024/08/23 12:00,1,34.7,0,2
2024/08/23 13:00,0.7,34.3,0,2
2024/08/23 14:00,0.8,35.7,0,4
2024/08/23 15:00,0.9,35.2,0,2
2024/08/23 16:00,1,35.4,0,2
2024/08/23 17:00,0.4,34,0,4
2024/08/23 18:00,0,32.4,0,4
2024/08/24 7:00,0,27.2,0,4
2024/08/24 8:00,0.1,27.2,0,10
2024/08/24 9:00,0,28.3,0,4
2024/08/24 10:00,0.6,30.2,0,2
2024/08/24 11:00,0.6,32,0,2
2024/08/24 12:00,0.3,32.6,0,4
2024/08/24 13:00,0.6,33.6,0,4
2024/08/24 14:00,0.4,33.8,0,10
2024/08/24 15:00,0.3,32.7,0,4
2024/08/24 16:00,0.2,32.1,0,4
2024/08/24 17:00,0.2,31.2,0,4
2024/08/24 18:00,0.2,30.7,0,4
2024/08/25 7:00,0.2,25.9,0,4
2024/08/25 8:00,0,27.1,0,4
2024/08/25 9:00,0,28.6,0,4
2024/08/25 10:00,0,28.4,0,4
2024/08/25 11:00,0,29.5,0,4
2024/08/25 12:00,0.6,32.6,0,4
2024/08/25 13:00,0.2,32.4,0,4
2024/08/25 14:00,0.2,30.5,0,4
2024/08/25 15:00,0,26.5,0,10
2024/08/25 16:00,0,26.7,0,10
2024/08/25 17:00,0,26,0,4
2024/08/25 18:00,0,25.3,0,4
2024/08/26 7:00,1,25.3,0,2
2024/08/26 8:00,0.7,26,0,4
2024/08/26 9:00,0.3,27,0,4
2024/08/26 10:00,0.1,28,0,4
2024/08/26 11:00,0.8,30,0,2
2024/08/26 12:00,0.9,31.2,0,2
2024/08/26 13:00,0,30.3,0,4
2024/08/26 14:00,0,27.4,0,4
2024/08/26 15:00,0.2,26.8,3,10
2024/08/26 16:00,0.2,27.4,0,4
2024/08/26 17:00,1,28.1,0,2
2024/08/26 18:00,0.8,27.3,0,2
2024/08/27 7:00,0.5,24.7,0,4
2024/08/27 8:00,0,25.2,0,4
2024/08/27 9:00,0,27,0,4
2024/08/27 10:00,0.2,29.9,0,4
2024/08/27 11:00,1,33.2,0,2
2024/08/27 12:00,0.9,33.5,0,2
2024/08/27 13:00,1,35,0,2
2024/08/27 14:00,0.6,34.4,0,4
2024/08/27 15:00,0.1,32.7,0,4
2024/08/27 16:00,0,31.9,0,4
2024/08/27 17:00,0,30.6,0,4
2024/08/27 18:00,0.1,29.6,0,4
2024/08/28 7:00,0,24.6,0,4
2024/08/28 8:00,0,25.8,0,4
2024/08/28 9:00,0.1,26.6,0,4
2024/08/28 10:00,0.3,28.9,0,4
2024/08/28 11:00,0.1,29.6,0,4
2024/08/28 12:00,0.1,30.3,0,4
2024/08/28 13:00,0.3,31.6,0,4
2024/08/28 14:00,0,30.6,0,4
2024/08/28 15:00,0,30.1,0,4
2024/08/28 16:00,0,30,0,4
2024/08/28 17:00,0,29.6,0,4
2024/08/28 18:00,0,29,0,4
2024/08/29 7:00,0,24.5,0,4
2024/08/29 8:00,0,25.4,0,4
2024/08/29 9:00,0,27,0,4
2024/08/29 10:00,0,28.3,0,4
2024/08/29 11:00,0,28.8,0,4
2024/08/29 12:00,0,29.3,0,4
2024/08/29 13:00,0,29.2,0,4
2024/08/29 14:00,0,28.8,0,4
2024/08/29 15:00,0,28.4,0,4
2024/08/29 16:00,0,28,0,4
2024/08/29 17:00,0,27.5,0,4
2024/08/29 18:00,0,26.8,0,4
2024/08/30 7:00,0,23.5,0,4
2024/08/30 8:00,0,26.4,0,4
2024/08/30 9:00,0,26.2,0,4
2024/08/30 10:00,0.6,28.6,0,4
2024/08/30 11:00,1,30.1,0,2
2024/08/30 12:00,0.8,31.8,0,4
2024/08/30 13:00,0.7,32.4,0,4
2024/08/30 14:00,0.4,32.3,0,4
2024/08/30 15:00,0.2,31.4,0,4
2024/08/30 16:00,0,30.4,0,4
2024/08/30 17:00,0.3,30.1,0,4
2024/08/30 18:00,0,28.8,0,4
2024/08/31 7:00,0,25,6.5,10
2024/08/31 8:00,0,25.5,0,4
2024/08/31 9:00,0,26.6,0,4
2024/08/31 10:00,0.4,29.5,0,4
2024/08/31 11:00,0.9,31.9,0,2
2024/08/31 12:00,0.3,31.7,0,4
2024/08/31 13:00,0.5,31.8,0,4
2024/08/31 14:00,0.3,32.3,0,4
2024/08/31 15:00,0,28.6,0,4
2024/08/31 16:00,0,27.1,0,4
2024/08/31 17:00,0,26.5,3.5,10
2024/08/31 18:00,0,25.5,0,4
2024/09/01 7:00,0.1,23.9,0,4
2024/09/01 8:00,0.3,24.6,0,2
2024/09/01 9:00,0.4,26.4,0,2
2024/09/01 10:00,0.9,28.9,0,2
2024/09/01 11:00,0.9,31.9,0,2
2024/09/01 12:00,0.8,32.3,0,2
2024/09/01 13:00,0.7,33.8,0,4
2024/09/01 14:00,0.7,33.5,0,2
2024/09/01 15:00,0.6,34,0,2
2024/09/01 16:00,0.5,33.2,0,4
2024/09/01 17:00,0.8,31.4,0,2
2024/09/01 18:00,0.8,30.5,0,2
2024/09/02 7:00,1,26.5,0,2
2024/09/02 8:00,1,29,0,2
2024/09/02 9:00,1,31.6,0,2
2024/09/02 10:00,0.4,32.3,0,4
2024/09/02 11:00,0.3,32,0,4
2024/09/02 12:00,0,29.8,0,4
2024/09/02 13:00,0,26.6,0,4
2024/09/02 14:00,0,24.9,0,10
2024/09/02 15:00,0,24.8,0,4
2024/09/02 16:00,0,24.4,0,4
2024/09/02 17:00,0,24.5,0,4
2024/09/02 18:00,0,23.9,0,4
2024/09/03 7:00,0.2,22,0,4
2024/09/03 8:00,0.1,23.2,0,4
2024/09/03 9:00,0.1,24.4,0,4
2024/09/03 10:00,0.2,25.1,0,4
2024/09/03 11:00,0.1,25.9,0,4
2024/09/03 12:00,0.1,26.2,0,4
2024/09/03 13:00,0.1,26.8,0,4
2024/09/03 14:00,0,27.2,0,4
2024/09/03 15:00,0,27.1,0,4
2024/09/03 16:00,0,26.8,0,4
2024/09/03 17:00,0,27.2,0,4
2024/09/03 18:00,0,25.8,0,4
2024/09/04 7:00,0.8,20.9,0,2
2024/09/04 8:00,1,23.8,0,2
2024/09/04 9:00,1,25.1,0,2
2024/09/04 10:00,1,27.2,0,2
2024/09/04 11:00,1,28,0,2
2024/09/04 12:00,1,28.5,0,2
2024/09/04 13:00,1,29.4,0,2
2024/09/04 14:00,1,29.8,0,2
2024/09/04 15:00,1,29.4,0,2
2024/09/04 16:00,1,29.5,0,2
2024/09/04 17:00,1,27.7,0,2
2024/09/04 18:00,0.9,26.2,0,2
2024/09/05 7:00,1,20.6,0,2
2024/09/05 8:00,1,23,0,2
2024/09/05 9:00,1,23.8,0,2
2024/09/05 10:00,1,26.4,0,2
2024/09/05 11:00,1,29.2,0,2
2024/09/05 12:00,1,30.2,0,2
2024/09/05 13:00,1,31.8,0,2
2024/09/05 14:00,1,31.8,0,2
2024/09/05 15:00,1,32.7,0,2
2024/09/05 16:00,1,32.2,0,2
2024/09/05 17:00,0.9,31.1,0,2
2024/09/05 18:00,0.5,29,0,4
2024/09/06 7:00,0,22.5,0,4
2024/09/06 8:00,0.3,23.8,0,4
2024/09/06 9:00,0.9,26,0,2
2024/09/06 10:00,1,28.4,0,2
2024/09/06 11:00,0.6,28.8,0,2
2024/09/06 12:00,0.9,30.6,0,2
2024/09/06 13:00,0.8,30.9,0,4
2024/09/06 14:00,0.4,31.5,0,4
2024/09/06 15:00,0.3,29.3,0,4
2024/09/06 16:00,0.3,30,0,4
2024/09/06 17:00,0,28.8,0,4
2024/09/06 18:00,0,27.7,0,4
2024/09/07 7:00,0,23.4,0,4
2024/09/07 8:00,0.5,25.5,0,4
2024/09/07 9:00,0.1,26.3,0,4
2024/09/07 10:00,0.1,26.8,0,4
2024/09/07 11:00,0.1,28.4,0,4
2024/09/07 12:00,0.5,30.3,0,4
2024/09/07 13:00,0,29.9,0,4
2024/09/07 14:00,0,29.9,0,4
2024/09/07 15:00,0,29.6,0,4
2024/09/07 16:00,0.1,29.1,0,4
2024/09/07 17:00,0.3,28.5,0,4
2024/09/07 18:00,0,27.2,0,4
2024/09/08 7:00,0.2,24.3,0,4
2024/09/08 8:00,0.8,25.4,0,2
2024/09/08 9:00,0.8,26.6,0,2
2024/09/08 10:00,0.5,28.4,0,4
2024/09/08 11:00,0.2,29.7,0,4
2024/09/08 12:00,0.2,30.2,0,4
2024/09/08 13:00,0.1,29.4,0,4
2024/09/08 14:00,0.1,29,0,4
2024/09/08 15:00,0.4,28.7,0,2
2024/09/08 16:00,0.2,29.1,0,4
2024/09/08 17:00,0.1,27.9,0,4
2024/09/08 18:00,0,27.1,0,4
2024/09/09 7:00,0,22.9,0,4
2024/09/09 8:00,0.3,24.5,0,2
2024/09/09 9:00,1,26.9,0,2
2024/09/09 10:00,0.8,28.5,0,4
2024/09/09 11:00,0.2,29.1,0,4
2024/09/09 12:00,0.7,30.2,0,2
2024/09/09 13:00,1,31,0,2
2024/09/09 14:00,0.9,31.8,0,2
2024/09/09 15:00,0.5,30.4,0,4
2024/09/09 16:00,0.5,30.4,0,2
2024/09/09 17:00,0.4,29.2,0,4
2024/09/09 18:00,0,28.5,0,4
2024/09/10 7:00,1,24.6,0,2
2024/09/10 8:00,1,26.8,0,2
2024/09/10 9:00,1,28.9,0,2
2024/09/10 10:00,1,30.1,0,2
2024/09/10 11:00,0.9,32,0,2
2024/09/10 12:00,0.8,33,0,2
2024/09/10 13:00,0.3,33.1,0,2
2024/09/10 14:00,0.9,33.3,0,2
2024/09/10 15:00,0.9,33.5,0,2
2024/09/10 16:00,1,32.8,0,2
2024/09/10 17:00,0.3,31.4,0,2
2024/09/10 18:00,0.4,29.8,0,2
2024/09/11 7:00,0.9,25.7,0,2
2024/09/11 8:00,0,26.6,0,4
2024/09/11 9:00,0.1,28.2,0,4
2024/09/11 10:00,0.2,29.2,0,4
2024/09/11 11:00,0.5,30.3,0,4
2024/09/11 12:00,0.2,32.1,0,4
2024/09/11 13:00,0.6,31.5,0,4
2024/09/11 14:00,0.1,27.7,0,4
2024/09/11 15:00,0,27.8,0,4
2024/09/11 16:00,0,28.4,0,4
2024/09/11 17:00,0.7,28.6,0,2
2024/09/11 18:00,0.7,28.3,0,4
2024/09/12 7:00,0,23.8,0,4
2024/09/12 8:00,0.7,26.6,0,2
2024/09/12 9:00,0.9,27.2,0,2
2024/09/12 10:00,0.6,29.1,0,2
2024/09/12 11:00,0.2,29.6,0,4
2024/09/12 12:00,0.2,28.1,0,10
2024/09/12 13:00,0,27.3,0,10
2024/09/12 14:00,0.9,30.9,0,2
2024/09/12 15:00,0.9,29.5,0,2
2024/09/12 16:00,0.3,30.7,0,4
2024/09/12 17:00,0.7,29.6,0,4
2024/09/12 18:00,0.1,28.3,0,2
2024/09/13 7:00,0.4,26.6,0,2
2024/09/13 8:00,0,27.2,0,4
2024/09/13 9:00,0.5,28.9,0,2
2024/09/13 10:00,0.4,29.3,0,4
2024/09/13 11:00,0.7,31,0,2
2024/09/13 12:00,0.3,31.8,0,4
2024/09/13 13:00,0,27.5,1.5,4
2024/09/13 14:00,0.7,31,0,2
2024/09/13 15:00,0.5,30.8,0,4
2024/09/13 16:00,0.9,31,0,2
2024/09/13 17:00,0.8,29.9,0,2
2024/09/13 18:00,0,28.4,0,4
2024/09/14 7:00,0.7,25.3,0,2
2024/09/14 8:00,0.8,28.3,0,2
2024/09/14 9:00,1,29.5,0,2
2024/09/14 10:00,1,31.2,0,2
2024/09/14 11:00,1,32.3,0,2
2024/09/14 12:00,0.9,32.6,0,2
2024/09/14 13:00,0.1,33,0,4
2024/09/14 14:00,0.6,31.7,0,4
2024/09/14 15:00,0.4,31,0,4
2024/09/14 16:00,0.1,29.8,0,4
2024/09/14 17:00,0,28.9,0,10
2024/09/14 18:00,0,27.2,1.5,2
2024/09/15 7:00,0.4,24.7,0,2
2024/09/15 8:00,1,26.6,0,2
2024/09/15 9:00,0.9,27.5,0,2
2024/09/15 10:00,1,30.5,0,2
2024/09/15 11:00,0.9,30.7,0,2
2024/09/15 12:00,0.4,31.8,0,4
2024/09/15 13:00,0,27.8,0,4
2024/09/15 14:00,0,25.5,0,10
2024/09/15 15:00,0,25.2,6,10
2024/09/15 16:00,0,25.1,5,10
2024/09/15 17:00,0,25.1,2.5,10
2024/09/15 18:00,0,25.1,0.5,10
2024/09/16 7:00,0,24.4,0,4
2024/09/16 8:00,0,24.6,0,10
2024/09/16 9:00,0,25.5,0,4
2024/09/16 10:00,0.3,27,0,4
2024/09/16 11:00,0,27.2,0,4
2024/09/16 12:00,0.3,27,0,4
2024/09/16 13:00,0.9,27.3,0,2
2024/09/16 14:00,0.7,28,0,2
2024/09/16 15:00,0.9,27.5,0,2
2024/09/16 16:00,0.8,26.5,0,2
2024/09/16 17:00,0.3,25.1,0,4
2024/09/16 18:00,0.4,23.8,0,4
2024/09/17 7:00,0.1,22.8,0,4
2024/09/17 8:00,0,23.1,0,4
2024/09/17 9:00,0.2,24.3,0,4
2024/09/17 10:00,1,28,0,2
2024/09/17 11:00,0.7,28.2,0,2
2024/09/17 12:00,0.5,28.9,0,4
2024/09/17 13:00,0.1,29.9,0,4
2024/09/17 14:00,0.2,29.8,0,4
2024/09/17 15:00,0.5,30.6,0,4
2024/09/17 16:00,0.1,29.8,0,4
2024/09/17 17:00,0,29,0,4
2024/09/17 18:00,0.2,27.7,0,2
2024/09/18 7:00,0.1,24.1,0,4
2024/09/18 8:00,0.1,25.8,0,4
2024/09/18 9:00,0,27.3,0,4
2024/09/18 10:00,0.1,27.9,0,4
2024/09/18 11:00,0,28.6,0,4
2024/09/18 12:00,0,28.4,0,4
2024/09/18 13:00,0,28.9,0,4
2024/09/18 14:00,0,28.6,0,4
2024/09/18 15:00,0,28.4,0,4
2024/09/18 16:00,0.3,28.6,0,4
2024/09/18 17:00,0.2,28,0,4
2024/09/18 18:00,0,26.6,0,4
2024/09/19 7:00,0,23.1,4,10
2024/09/19 8:00,0,23.1,12,10
2024/09/19 9:00,0,23.9,0,4
2024/09/19 10:00,0.2,25.7,0,4
2024/09/19 11:00,0.1,27,0,4
2024/09/19 12:00,0.2,28.3,0,4
2024/09/19 13:00,0,26.9,0,4
2024/09/19 14:00,0,24.8,1,10
2024/09/19 15:00,0,24.4,1,10
2024/09/19 16:00,0,24.2,0,10
2024/09/19 17:00,0,23.7,0,4
2024/09/19 18:00,0,23.7,0,4
2024/09/20 7:00,0,22.1,0.5,10
2024/09/20 8:00,0,22.5,0,4
2024/09/20 9:00,0,23.6,0,4
2024/09/20 10:00,0,25.4,0,4
2024/09/20 11:00,0,25.5,0,4
2024/09/20 12:00,0,24.3,7,10
2024/09/20 13:00,0.2,26.1,0,4
2024/09/20 14:00,0.3,26.6,0,4
2024/09/20 15:00,0.4,26.5,0,4
2024/09/20 16:00,0.8,27.4,0,2
2024/09/20 17:00,0.4,26.7,0,2
2024/09/20 18:00,0,25.9,0,10
2024/09/21 7:00,0,23.4,0,4
2024/09/21 8:00,0,23.5,0.5,10
2024/09/21 9:00,0,23.6,0,4
2024/09/21 10:00,0,22.7,0.5,10
2024/09/21 11:00,0,22.5,1.5,10
2024/09/21 12:00,0,22.3,1,10
2024/09/21 13:00,0,22.7,0.5,10
2024/09/21 14:00,0,21.9,2,10
2024/09/21 15:00,0,22.2,0.5,10
2024/09/21 16:00,0,22,0,10
2024/09/21 17:00,0,20.8,5.5,10
2024/09/21 18:00,0,20.9,1.5,10
2024/09/22 7:00,0,19.8,0.5,10
2024/09/22 8:00,0,20,0,10
2024/09/22 9:00,0,20.3,0.5,10
2024/09/22 10:00,0,19.2,2.5,10
2024/09/22 11:00,0,19.2,4,10
2024/09/22 12:00,0,19.8,9,10
2024/09/22 13:00,0.1,21.9,0,4
2024/09/22 14:00,0.1,22.7,0,4
2024/09/22 15:00,0,22.1,0,10
2024/09/22 16:00,0.2,23.3,0,4
2024/09/22 17:00,0.3,22.3,0,4
2024/09/22 18:00,0,22.3,0,4
2024/09/23 7:00,0.1,18.9,0,4
